made,shot_x,shot_y,shooter_velocity_ft_sec,shooter_velocity_angle,dribbles_before,defender_distance,defender_angle,defender_velocity_ft_sec,defender_velocity_angle
0,-8.279158243,10.13932622,2.299435825,-161.8180569,9,5.217113892,48.43035877,5.74003083,49.97882942
1,-5.540243163,9.63091961,1.583322555,-95.69980932,1,1.88361976,72.02839589,1.91945318,180
0,-9.373430698,40.84472016,9.939849274,-15.46245204,4,2.313757989,-41.47805776,9.582888943,124.2108573
1,0.707721257,1.591890146,11.51044822,5.828308594,6,3.887127694,161.8002667,4.644648059,-18.7859486
0,8.899852135,24.56703865,3.25244439,15.8222193,5,2.163301658,-174.6924522,5.737312192,46.9442828
1,2.600921026,6.469270917,12,31.46504423,1,2.749932265,25.9020367,9.149378271,-112.8794919
0,-0.104395322,26.09304656,1.48667512,17.43810357,0,5.142767924,-53.82666791,11.50486495,-47.89875195
0,-1.236609202,3.696438583,12,39.76687826,1,0.684617785,43.71038263,12,-104.1617308
0,2.106643015,11.05560214,7.776751022,-12.02345037,7,3.120612559,76.67931814,1.795607885,-73.22660605
0,-14.43314044,6.378231299,2.854884046,117.8464597,0,7.336551909,4.004411985,8.793132706,-26.95937173
0,-22.7217101,-1.867556521,1.077260198,51.65901316,0,7.436543447,-1.017905137,10.51969,-41.4347041
0,1.961187001,4.662472127,10.23082754,15.42233555,3,1.930023825,68.35880771,8.171411584,-78.29098827
0,-1.244695187,1.392295153,1.4083039,5.451045657,0,0,-27.55422518,1.807121459,143.1293808
0,3.541842449,16.25581681,0.649800505,-66.57851047,9,5.824402957,1.715592084,4.588634349,105.1755054
0,4.132118095,0.965950046,9.849853677,-86.40697709,2,1.662703501,-71.24626852,7.989613995,29.18949009
0,-20.43191905,17.95630201,2.596508268,-38.16814248,2,6.614859738,-8.118439408,6.999091428,-10.78478966
1,2.341363633,0.923842428,3.864811123,115.5343707,0,2.806616946,40.52268745,1.430754264,-80.98263695
1,-11.91555368,0.097412294,4.413961684,147.3798268,1,2.021700813,9.361272031,5.833658986,-43.02585192
0,-2.379184822,33.01630222,3.788348604,9.282259897,0,6.597283892,-0.433027182,4.781455101,-4.707370651
0,3.045437285,-1.810713585,2.263128736,-4.691252546,0,4.348019339,-19.0987236,8.483972575,-158.5920255
0,0.235741214,8.243499213,10.24017341,36.29115193,3,0.291480359,8.253463614,9.618126031,-11.19394096
1,5.695608408,5.848357338,0.833273952,-102.0756609,0,2.314217769,130.45339,6.718866857,48.89669763
1,-5.931754125,5.533395849,6.600379491,-31.69779605,1,1.169294019,-28.57996749,3.658456315,45.34822442
0,-10.76441044,22.62015835,1.252852261,-95.40022469,0,5.622737833,9.730944824,5.460926872,173.6654662
1,-0.807479623,0.556633393,4.007922608,-52.08671819,0,6.333746316,120.8606869,9.838104043,2.617165031
0,9.450493475,28.81916542,1.460741399,-79.1751213,0,6.941390244,-3.462927955,9.615689623,24.1958701
0,-11.60401918,21.46240293,0,70.62593754,0,3.763064329,4.205806562,3.018350072,-5.96101651
0,-20.58070966,14.70029083,4.014035841,-5.878819637,0,8.886769111,-4.78527573,9.040430263,26.44225695
0,-4.763025572,30.91297064,3.83308529,-36.91732629,2,2.468169178,-15.2219391,2.318080744,76.32850372
0,-0.941304788,16.10401393,0,-58.8452606,6,6.695051379,41.53011181,1.75851432,135.18205
1,-1.814234943,0.218340857,11.15394752,-23.86843836,3,3.191447402,-106.4522295,3.565220219,-101.2379966
0,16.96384694,19.75741507,3.055475829,4.286738615,3,3.756338106,16.62272863,6.83010581,18.26001199
1,-20.56504257,9.407127199,2.486917557,89.19326939,11,4.222786492,57.2823743,10.81696753,-46.01205287
0,1.069364637,4.795712307,6.988807,-92.75821793,11,1.176342277,-156.5608654,3.0505974,-88.37565118
0,-3.590627516,23.55317388,1.127380383,27.22198215,0,6.106931186,-2.872748509,10.93332973,-33.90739146
0,10.88833019,22.95747086,2.949839084,-14.63091675,0,12.75475249,-45.75300329,10.13876727,-173.8739246
1,-21.39671267,17.60377588,0.365790872,19.73697474,0,3.929426009,5.682782637,10.22606403,-39.3959364
0,-0.988424342,3.098587802,12,-45.46971532,2,0.99592455,-178.7383571,12,-61.14521247
1,5.556609111,1.479778031,3.171315618,-73.12253488,1,2.906706267,-9.49279897,3.502516367,113.5084349
0,18.06265136,16.09848133,3.136708593,33.46717805,0,5.274495487,3.548420313,5.120075694,-18.75808933
1,-0.323539533,5.989073272,5.775583482,20.4423792,0,0.634823551,-105.7811056,8.14038375,-26.86520801
0,21.83961617,0.972893732,2.029330046,-14.6214092,0,7.931448028,-25.61440336,3.163297426,-27.4221461
1,23.61542428,-0.0926217,0,49.65646435,0,5.434023407,47.38840191,12,-12.60768822
0,1.454903838,2.403820742,8.602034581,-10.25783632,9,1.644418786,-62.98883258,1.593032549,11.37788442
1,12.40173115,21.43186115,0,1.165929742,5,2.775417777,-55.47092166,0.23409942,3.859619683
0,17.05704799,20.68759855,2.894952307,1.368525812,1,2.170834996,-15.36519015,4.845530592,-25.20708875
0,-7.63044655,9.60962514,4.814300539,-21.90524039,7,3.537606413,-87.79262217,6.275714552,58.29070493
0,-20.73132568,28.26314655,4.97364324,-67.05254535,4,3.764841142,-28.6424281,12,110.0817071
1,1.796949939,1.51367409,5.796917518,-39.82534623,2,15.66397437,-119.1755869,12,15.69193484
0,22.09425425,2.508849743,0.95932288,53.31901115,0,3.918789909,-9.43794364,10.1900021,23.40053905
0,12.67659019,20.95485421,0.496809907,-23.23294686,0,3.12446998,-131.0737938,12,-83.89652051
0,1.710331751,2.613327722,9.983946396,36.45829457,4,1.305574707,51.74399412,10.06696974,-95.9004423
1,-4.310368966,25.03289265,1.664393329,-30.41798053,0,6.463066706,-22.88770639,12,-18.7375532
0,5.210336005,18.6058957,1.487105022,106.6674537,1,4.318821004,38.91839662,7.441126971,-33.43583809
0,-2.55809022,0.446327897,12,75.48691128,2,1.846144135,96.84571081,9.246325644,-15.11989597
1,5.143896032,19.14887419,1.988982896,131.1135155,0,6.069038383,36.78639455,12,30.22353428
1,7.162460834,-1.519107841,4.010852671,-22.12935191,0,3.198965938,49.65723539,3.475540701,99.17667722
1,1.210369418,4.921422076,1.433465345,-12.62332254,0,2.68581514,-154.7124147,10.57543841,41.81882836
0,-16.95470501,3.453670468,0.024484102,74.21309428,0,6.714671042,-12.60705826,3.217312806,-21.5879424
0,-14.47087637,20.03564687,1.569223016,120.9254984,0,3.887636938,0.687624336,12,58.59920485
1,-13.46563075,7.448829495,1.39486227,-84.915933,5,2.923229037,-1.682248374,7.592703961,22.61169956
1,-1.006372326,6.428877916,8.400266334,-40.69006412,1,0,-119.5089085,6.771491073,16.98629504
0,-3.904273935,2.905606151,2.922037382,-96.99650269,2,0.878646897,7.353752702,3.458602821,113.8468247
1,7.259957162,5.569261943,5.450582946,7.474883934,6,3.052946191,-99.85807004,2.429230545,91.19438809
0,1.809624071,11.49797693,6.806752341,-139.4306602,7,1.802435544,-9.257896882,3.839301488,49.37260953
0,-4.849416673,22.3821631,2.366376665,26.87062463,17,2.394414514,-15.64876349,7.149999983,-78.32710335
0,-14.44801783,17.53787161,2.692185462,128.1961523,0,4.14518169,3.303598259,3.018141289,-116.1502405
1,-3.650596798,0.979691941,11.62963767,51.35282011,0,3.814501349,80.76287025,7.120898175,-38.35832616
1,19.74473723,9.897548258,0.028898111,65.95531611,1,6.285135681,-0.611455988,3.907081799,-3.831063744
1,-1.537013096,4.259643747,12,-11.54092352,0,3.432727152,180,7.116048022,10.61814722
1,-8.046090406,31.00540168,10.48936605,68.55546054,3,2.550838735,24.89765592,12,-79.17370331
1,1.965267914,1.510359532,5.684029316,-106.1488381,0,5.946250012,28.27150153,4.515159016,58.53631625
0,-0.096582569,6.534811961,10.30608178,60.5889196,2,2.992227235,142.9572907,4.214627249,-11.83028114
0,-23.38043471,11.16222045,0,-8.593088303,0,7.35712474,-6.199251402,12,-5.798024368
0,-7.068119553,1.90806928,4.738921404,-48.42043592,4,1.662939879,-70.82598591,1.620402375,119.2447727
0,-15.98344015,21.07454704,0,9.608537405,0,4.801350438,3.589487263,5.078291947,-25.24771602
0,-11.7534597,12.79739364,9.000517645,29.46972448,4,6.620899032,-81.56148775,12,148.5226429
0,-7.293050326,24.08992996,2.527396367,-7.337153457,0,6.178693028,5.057939155,12,-33.93157732
0,17.01217736,19.35710897,2.877061596,20.87778693,1,4.757597238,3.587403446,10.48734459,29.26731218
0,0.464887014,3.357144472,6.726411604,33.19811412,2,2.226428534,151.8140551,10.04471178,-41.46439894
0,22.0820652,-1.542366157,5.596234901,-12.54603698,0,7.473686554,35.73422143,11.54391774,-27.77911557
0,-0.635841424,20.3735929,2.940868338,-12.86560421,1,6.048339453,14.31166875,5.948266815,-21.34564455
0,-3.310053241,25.68484638,1.442258472,42.65676475,0,5.550044684,-9.164197188,12,-13.12862022
0,1.327345384,0.569973187,0.912519009,-149.2129107,0,2.023981769,-23.51476662,3.093456656,-45.02963489
1,1.101549417,4.944479995,1.668698982,109.2101088,1,0.760628491,17.32436869,0,-110.0177215
1,-7.324865587,17.52139306,2.639090536,-169.0051664,0,5.798561332,-4.997119609,3.227890931,-0.320061366
0,16.07680215,-1.257043153,2.150135244,-177.5894616,0,9.803488566,-14.90268464,1.145097269,-122.1062264
1,-0.954396475,0.002675668,2.222156771,11.73225588,0,2.091127392,172.7004389,12,54.28319243
0,17.16834702,-1.022158424,1.015842453,31.86464334,1,3.400100939,0.525278717,3.016706127,-161.0808357
1,-3.110963232,3.675544065,10.09258403,-7.198188485,1,2.819471113,2.03196738,1.452686753,94.22390769
1,7.566153782,26.35574856,1.923915959,-20.29019608,0,3.819780889,-1.956092076,7.886852616,53.49733007
1,-21.5803566,12.80382949,1.745841477,-28.16590362,0,4.786369237,-7.106742751,10.67477089,2.154501001
1,4.950528873,4.155721115,12,-50.32395106,8,3.176555736,-18.12390482,12,116.5288234
0,15.64869079,22.81760238,0.765512188,1.160710414,1,3.655450358,19.05728611,5.870549307,-37.18959242
0,0.427469344,2.94037552,12,-97.10921447,10,1.0577385,-141.9931231,3.097096735,62.27460029
0,-21.55396422,12.28689845,3.757240648,170.02394,3,2.176415386,-19.20365257,8.335424963,-63.27551809
0,2.449736449,25.20076816,0,152.3852693,0,13.57153186,20.1564365,8.947038041,-35.08583962
0,3.974434552,0.531889173,3.693998404,-138.0127436,2,2.058207601,5.655466185,2.413646873,32.7440694
1,-21.08271703,15.36221015,2.205609482,25.91361715,0,5.195479259,42.10437001,11.71480725,-31.63239105
1,1.577301519,2.58334343,10.84648711,56.81836936,4,6.856322613,-113.8282319,12,144.7976663
1,-18.46195573,18.69163408,3.511120608,-19.78922564,0,0.366351615,-105.1061963,1.792856304,-62.64008416
1,-1.477249066,11.4769962,7.344073654,-16.87079727,6,0.580022807,-140.2523746,7.750571149,-9.661507302
0,1.82096861,1.132235354,10.85540698,-134.4337684,1,1.587937012,138.5471409,6.974792325,-61.92064224
1,1.734318115,4.209454794,9.448353498,-1.984596274,5,3.11065847,-38.54593282,12,172.0728736
0,-15.18844904,19.65571885,0.247024841,82.89260107,0,8.417631575,-11.54555288,10.73867145,11.74166202
0,23.02280085,0.167775687,1.716026396,-53.30439033,0,10.10624082,10.00872854,12,5.843887671
0,2.118982444,2.538329619,4.472952693,16.09555764,0,2.22043811,-132.7532887,5.508165393,124.4368043
0,0.350920234,39.55159136,12,-63.28762418,3,4.110444264,4.418735974,12,130.9474993
0,-4.197988217,15.73732507,3.569861355,-95.40746097,3,2.976966725,-23.11636305,7.83367867,68.46452315
0,-1.983222529,1.772588472,5.223985257,-146.5979301,1,1.572130377,38.00553171,2.652389052,58.72240547
0,19.20822925,17.20901301,2.923546458,11.39922005,0,3.641845391,11.07858616,9.033393926,23.22527831
0,1.834611786,-0.538491084,1.505053381,-123.9111806,4,1.266116923,105.9308055,4.110421004,71.55089578
